NDVI,LAI,inverted_NDVI
0.21220687,0.35396814110113445,0.21220687
0.20405379,0.33459900591518127,0.20405379000000007
0.19630824,0.31637017423014063,0.19630823999999997
0.19630824,0.31637017423014063,0.19630823999999997
0.18918425,0.2997495856178369,0.18918425
0.19657493,0.3169950640970388,0.19657492999999998
0.19097175,0.3039069409213043,0.19097175000000005
0.18313551,0.2857452239903784,0.18313551
0.18664137,0.2938502244552654,0.18664136999999997
0.18154368,0.28207597635083065,0.18154368000000004
0.17100477,0.2579516158656892,0.17100476999999997
0.17515524,0.2674176510153256,0.17515524
0.17633864,0.27012487672567564,0.17633863999999994
0.17149083,0.2590578663249028,0.17149083000000004
0.28487778,0.5354393864214807,0.28487778
0.16932605,0.2541356247047273,0.16932604999999995
0.1605896,0.2343930153950813,0.16058959999999994
